,e_id,model,avg_charge,short_interval_charge(<5h),charge_start_mean,charge_end_mean,increase_mean,low_battery_charge(<20%),high_battery_charge(>80%)
0,UXR4bY,iPhone,3.689265688131364,0.532608695652174,31.92391304347826,64.17391304347827,32.25,0.45652173913043476,0.08695652173913043
1,3YSsRf,iPhone,6.110655842262516,0.7674418604651163,61.89147286821706,79.71317829457364,17.82170542635659,0.031007751937984496,0.23255813953488372
2,Jc7DYR,iPhone,4.936635690872301,0.7706422018348624,52.9302752293578,68.40183486238531,15.471559633027523,0.11743119266055047,0.163302752293578
3,kT6Rjc,HTC One M9,19.079784497330152,0.9156626506024096,72.2921686746988,77.85240963855422,5.5602409638554215,0.0,0.4246987951807229
4,aB6xcE,iPhone,13.190105458659572,0.8808664259927798,48.84115523465704,56.82310469314079,7.981949458483754,0.19855595667870035,0.17328519855595667
5,Ppy3T3,R1 HD,3.2717213852285996,0.5,51.11538461538461,75.88461538461539,24.76923076923077,0.11538461538461539,0.038461538461538464
6,iPhone,iPhone,1.5225178387018472,0.0,15.857142857142858,83.28571428571429,67.42857142857143,0.5714285714285714,0.0
7,fRnE3b,iPhone,1.9311974015004372,0.24324324324324326,45.83783783783784,87.72972972972973,41.891891891891895,0.32432432432432434,0.2972972972972973
8,C92jRs,iPhone,4.873322427609772,0.6719367588932806,27.213438735177867,51.0395256916996,23.82608695652174,0.4268774703557312,0.05138339920948617
9,G5L7ja,Pixel,3.544970840782357,0.5135135135135135,38.7972972972973,69.63513513513513,30.83783783783784,0.3783783783783784,0.12162162162162163
10,9ERrfy,iPhone,4.4848070885707765,0.7093023255813954,26.406976744186046,42.127906976744185,15.720930232558139,0.4418604651162791,0.011627906976744186
11,2XdEfU,iPhone,6.835595559754345,0.7083333333333334,52.611111111111114,75.10416666666667,22.493055555555557,0.1597222222222222,0.25
12,v33JTj,iPhone,2.7692206953029195,0.625,43.660714285714285,64.33928571428571,20.678571428571427,0.30357142857142855,0.14285714285714285
13,iPhone,iPhone,9.100041366274157,0.8404255319148937,26.377659574468087,47.37234042553192,20.99468085106383,0.4095744680851064,0.005319148936170213
14,Tc8zbn,iPhone,0.2270429012803275,0.0,62.0,72.5,10.5,0.0,0.5
15,6PZwLJ,iPhone,6.694067332466142,0.746268656716418,41.57462686567164,66.55223880597015,24.97761194029851,0.27611940298507465,0.11940298507462686
16,zGw3s2,iPhone,5.614112503827881,0.6548672566371682,51.902654867256636,73.82300884955752,21.920353982300885,0.11504424778761062,0.05309734513274336
17,Db8hWK,iPhone,7.06341472726656,0.7634408602150538,81.44623655913979,91.74193548387096,10.295698924731182,0.016129032258064516,0.6075268817204301
18,z4dXyF,iPhone,1.6150629710061537,0.3235294117647059,29.323529411764707,69.91176470588235,40.588235294117645,0.5,0.058823529411764705
19,v5xAUE,iPhone,1.4804106103665,0.3125,38.21875,91.28125,53.0625,0.40625,0.1875
20,TUf9NG,VS985 4G,2.712211695671257,0.5,56.55769230769231,77.4423076923077,20.884615384615383,0.11538461538461539,0.19230769230769232
21,v9Wnmj,iPhone,5.904735805816059,0.7217391304347827,42.7304347826087,61.87826086956522,19.14782608695652,0.14782608695652175,0.08695652173913043
22,K4jN6R,iPhone,2.5797529581988354,0.44680851063829785,38.57446808510638,76.57446808510639,38.0,0.23404255319148937,0.0851063829787234
23,cAr3x9,iPhone,18.389182132952314,0.9287531806615776,79.05343511450381,83.35368956743002,4.300254452926208,0.022900763358778626,0.6106870229007634
24,yQ7pYy,iPhone,4.119968808960024,0.6741573033707865,54.31460674157304,73.9438202247191,19.629213483146067,0.02247191011235955,0.1797752808988764
25,062,iPhone,5.494877374333554,0.75,67.57954545454545,87.35227272727273,19.772727272727273,0.03409090909090909,0.38636363636363635
26,nMMw8W,iPhone,2.999969857758995,0.47368421052631576,74.98245614035088,92.43859649122807,17.45614035087719,0.017543859649122806,0.5964912280701754
27,m2L8ka,iPhone,2.9560380295572743,0.7580645161290323,69.98387096774194,83.61290322580645,13.629032258064516,0.0,0.45161290322580644
28,KSzr5A,Moto G (4),8.494585160772477,0.8703703703703703,46.76543209876543,53.598765432098766,6.833333333333333,0.06172839506172839,0.037037037037037035
29,Judy,iPhone,2.8557196148332658,0.6069364161849711,39.676300578034684,65.16763005780346,25.491329479768787,0.34104046242774566,0.10404624277456648
30,3Vv4Le,iPhone,2.869832392406223,0.3442622950819672,68.37704918032787,90.78688524590164,22.40983606557377,0.03278688524590164,0.5081967213114754
31,QZ3Aum,iPhone,5.613776593018446,0.6890756302521008,58.3109243697479,76.0672268907563,17.756302521008404,0.18487394957983194,0.3445378151260504
32,v8Dy5a,iPhone,0.5131792290003816,0.2,29.4,91.2,61.8,0.4,0.0
33,cvC2Ka,iPhone,5.488340493745725,0.6851851851851852,44.925925925925924,61.27777777777778,16.35185185185185,0.12962962962962962,0.16666666666666666
34,p3fPVs,Pixel XL,0.698766573256658,0.18181818181818182,67.72727272727273,80.45454545454545,12.727272727272727,0.0,0.2727272727272727
