,e_id,model,out_call,in_call,total_call,out_ratio,avg_call(min),out_wait_duration(s)
0,UXR4bY,iPhone,100,29,137,0.7299270072992701,3.209124087591241,10.01
1,3YSsRf,iPhone,193,124,317,0.6088328075709779,1.5325446898002104,10.336787564766839
2,Jc7DYR,iPhone,452,636,1064,0.424812030075188,0.7959743107769424,72.29424778761062
3,kT6Rjc,HTC One M9,50,11,61,0.819672131147541,1.8224043715846994,0.0
4,aB6xcE,iPhone,71,108,179,0.39664804469273746,2.2620111731843573,12.845070422535212
5,Ppy3T3,R1 HD,29,8,37,0.7837837837837838,3.1653153153153153,0.0
6,iPhone,iPhone,0,2,2,0.0,2.7,0.0
7,fRnE3b,iPhone,18,23,41,0.43902439024390244,4.899186991869919,10.277777777777779
8,C92jRs,iPhone,174,194,368,0.47282608695652173,6.749592391304348,10.339080459770114
9,G5L7ja,Pixel,24,28,52,0.46153846153846156,5.252243589743589,0.0
10,9ERrfy,iPhone,106,65,172,0.6162790697674418,4.994961240310078,1.5471698113207548
11,2XdEfU,iPhone,22,26,48,0.4583333333333333,2.859375,8.636363636363637
12,v33JTj,iPhone,203,357,561,0.36185383244206776,0.6309566250742722,14.31527093596059
13,iPhone,iPhone,304,122,428,0.7102803738317757,4.313590342679128,9.305921052631579
14,Tc8zbn,iPhone,10,9,18,0.5555555555555556,1.9203703703703705,2.7
15,6PZwLJ,iPhone,93,51,144,0.6458333333333334,2.3498842592592593,1.5376344086021505
16,zGw3s2,iPhone,70,77,148,0.47297297297297297,3.6170045045045045,6.128571428571429
17,Db8hWK,iPhone,145,189,336,0.43154761904761907,2.031994047619048,9.689655172413794
18,z4dXyF,iPhone,84,36,117,0.717948717948718,2.265099715099715,10.357142857142858
19,v5xAUE,iPhone,9,28,37,0.24324324324324326,5.7914414414414415,10.555555555555555
20,TUf9NG,VS985 4G,23,32,55,0.41818181818181815,2.2115151515151514,0.0
21,v9Wnmj,iPhone,91,97,186,0.489247311827957,2.252508960573477,1.8461538461538463
22,K4jN6R,iPhone,61,80,143,0.42657342657342656,1.8382284382284382,13.131147540983607
23,cAr3x9,iPhone,195,212,403,0.4838709677419355,2.4813895781637716,1.7487179487179487
24,yQ7pYy,iPhone,36,55,92,0.391304347826087,2.2097826086956522,13.694444444444445
25,062,iPhone,22,68,90,0.24444444444444444,1.7205555555555556,13.909090909090908
26,nMMw8W,iPhone,151,96,246,0.6138211382113821,1.3818428184281841,11.52317880794702
27,m2L8ka,iPhone,55,30,85,0.6470588235294118,4.362156862745098,12.50909090909091
28,KSzr5A,Moto G (4),23,12,35,0.6571428571428571,6.492857142857143,0.0
29,Judy,iPhone,133,142,275,0.48363636363636364,1.3983636363636365,11.661654135338345
30,3Vv4Le,iPhone,261,153,414,0.6304347826086957,1.2821658615136875,9.383141762452107
31,QZ3Aum,iPhone,68,148,218,0.3119266055045872,2.1646788990825687,6.367647058823529
32,v8Dy5a,iPhone,1,13,14,0.07142857142857142,1.6142857142857143,0.0
33,cvC2Ka,iPhone,154,107,259,0.5945945945945946,5.372586872586873,11.948051948051948
34,p3fPVs,Pixel XL,67,56,123,0.5447154471544715,2.637804878048781,0.0
