,e_id,model,unlock_num,short_unlock(<1min),avg_unlock(per_day),avg_unlock_time(min),unlock_time_ratio
0,UXR4bY,iPhone,747,0.4779116465863454,29.705419995209816,4.694215863453817,0.09683587067505005
1,3YSsRf,iPhone,1384,0.44147398843930635,75.76670064658286,3.8191262283236935,0.20094624560619054
2,Jc7DYR,iPhone,2304,0.4635416666666667,20.74967556216119,3.1616801070601768,0.04555821975891509
3,kT6Rjc,HTC One M9,1040,0.45865384615384613,58.2641965273862,4.173878381410253,0.16888032659437194
4,aB6xcE,iPhone,2120,0.4542452830188679,97.70677961370107,3.292824355345904,0.2234244886072288
5,Ppy3T3,R1 HD,475,0.47368421052631576,58.63926287406013,5.409851333333334,0.220298398920082
6,iPhone,iPhone,84,0.5357142857142857,5.671715281787177,6.388715873015873,0.025163178783319747
7,fRnE3b,iPhone,473,0.47357293868921774,24.274548407031084,5.412467794221283,0.09123973018911201
8,C92jRs,iPhone,2872,0.4843314763231198,54.151683671643376,2.8734379294336065,0.10805659847554902
9,G5L7ja,Pixel,2063,0.45370819195346584,98.67463461698702,3.33785021812893,0.22872302130562683
10,9ERrfy,iPhone,533,0.4878048780487805,29.68340702246389,5.006703377110694,0.10320556540522308
11,2XdEfU,iPhone,573,0.4799301919720768,27.130370604417934,4.94199232111693,0.09310977999728466
12,v33JTj,iPhone,1274,0.44505494505494503,63.001220468354624,3.9236042255363635,0.1716610103080446
13,iPhone,iPhone,1775,0.4501408450704225,84.35444431260365,3.4613915962441246,0.20276650322881198
14,Tc8zbn,iPhone,26,0.7307692307692307,2.4845357117678084,1.922928205128205,0.0033177665255601386
15,6PZwLJ,iPhone,1581,0.4351676154332701,76.06616949299054,3.701287623866746,0.1955158137078862
16,zGw3s2,iPhone,811,0.47718865598027127,40.606916044691104,4.509674886970816,0.12716943716949705
17,Db8hWK,iPhone,488,0.47950819672131145,19.066870715297586,5.330957650273223,0.07058658354617095
18,z4dXyF,iPhone,762,0.4763779527559055,33.48787073567144,4.67228188976378,0.10865609164238067
19,v5xAUE,iPhone,1835,0.4479564032697548,91.57242120280054,3.4967262397820082,0.22236367226402984
20,TUf9NG,VS985 4G,1230,0.44227642276422763,59.973587682098234,3.9372971138211312,0.16398182894876662
21,v9Wnmj,iPhone,1324,0.44561933534743203,65.96423960852665,3.864748791540778,0.17703834396663867
22,K4jN6R,iPhone,309,0.459546925566343,19.52253325308768,5.132631877022652,0.06958470589932816
23,cAr3x9,iPhone,965,0.47253886010362695,45.15790357415886,4.260761295336784,0.1336160053661991
24,yQ7pYy,iPhone,770,0.4727272727272727,42.63355202407634,4.652177294372294,0.13773530743392212
25,062,iPhone,293,0.45733788395904434,23.404707737807797,5.345103640500566,0.08687540870431126
26,nMMw8W,iPhone,480,0.475,24.581310947001317,5.386078229166667,0.09194226648334726
27,m2L8ka,iPhone,257,0.46303501945525294,12.17655806515054,5.778463294422825,0.04886235682769487
28,KSzr5A,Moto G (4),864,0.46875,42.641517189221275,4.426751678240739,0.1310856998473032
29,Judy,iPhone,2470,0.4748987854251012,40.75948541436919,3.0332109784075523,0.08585563793965771
30,3Vv4Le,iPhone,1274,0.44505494505494503,58.79802681108957,3.9236042255363635,0.16020846281193848
31,QZ3Aum,iPhone,1100,0.45454545454545453,58.244991944495155,4.108892924242419,0.16619613560645333
32,v8Dy5a,iPhone,245,0.46122448979591835,22.93877502455044,5.821479863945577,0.09273445618680423
33,cvC2Ka,iPhone,642,0.48286604361370716,31.40871079763464,5.00487731048806,0.10916440557136314
34,p3fPVs,Pixel XL,636,0.4811320754716981,34.869291359995806,5.044269470649897,0.12214590407668269
